post_id,platform,format,scheduled_datetime_brt,scheduled_datetime_utc,media_path,media_type,caption,hashtags,cross_post_fb,status
Post2,Instagram+Facebook,Reel,2026-04-17 07:30,2026-04-17 10:30,frontend/public/marketing/PLUMAR_Post2_Reel_5Problemas.mp4,video,"Quantos desses problemas são seus? Comenta o número! 👇 O PLUMAR foi criado por quem vive a rotina do criatório. Link na bio.","#criacaodeaves #geneticadeaves #criadordecurio #criadoresbrasileiros #plumar",yes,scheduled
Post3,Instagram,Carousel,2026-04-19 11:00,2026-04-19 14:00,frontend/public/marketing/PLUMAR_Post3_Slide1.png|...|PLUMAR_Post3_Slide7.png,carousel,"A diferença entre um criatório amador e um profissional? Planejamento genético. Salva esse post e compartilha com aquele amigo criador. 🔖","#geneticadeaves #mutacoes #canariodecor #criacao #plumar",yes,scheduled
Post4,Instagram,Stories,2026-04-20 19:00,2026-04-20 22:00,frontend/public/marketing/PLUMAR_Post4_Story1.png|Story2.png|Story3.png,stories_sequence,"Story 1: Enquete plantel | Story 2: Perdeu dados? | Story 3: PLUMAR resolve.","",no,scheduled
Post6,Instagram+Facebook,Reel,2026-04-22 19:30,2026-04-22 22:30,frontend/public/marketing/PLUMAR_Post6_Reel_Simulador.mp4,video,"Simulador genético de mutações. Exclusivo no PLUMAR. Para de adivinhar e começa a planejar seus cruzamentos. 🧬","#simuladorgenetico #mutacoesdeaves #criacaoprofissional #plumar",yes,scheduled
Post7,Instagram+Facebook,Carousel,2026-04-24 12:30,2026-04-24 15:30,frontend/public/marketing/PLUMAR_Post7_Slide1.png|...|Slide6.png,carousel,"Planilha vs PLUMAR — qual é o seu criatório hoje? Migre hoje. 30 dias grátis. Link na bio.","#plumar #gestaodecriatório #criacaodeaves",yes,scheduled
Post9,Instagram,Carousel,2026-04-26 11:00,2026-04-26 14:00,frontend/public/marketing/PLUMAR_Post9_Slide1.png|...|Slide8.png,carousel,"Simulador genético do PLUMAR passo a passo. Salva esse post. Teste grátis 30 dias — link na bio.","#simuladorgenetico #geneticadeaves #tutorial #plumar",yes,scheduled
Post10,Instagram,Reel,2026-04-28 19:00,2026-04-28 22:00,frontend/public/marketing/PLUMAR_Post10_Reel_3Funcionalidades.mp4,video,"3 funcionalidades que seu criatório precisa e você nem sabia. PLUMAR. Link na bio.","#plumar #criacaodeaves #gestaodecriatório #dashboard",yes,scheduled
Post11,Instagram+Facebook,Image,2026-04-30 08:00,2026-04-30 11:00,frontend/public/marketing/PLUMAR_Post11_DicaManejo.png,image,"📋 Dica de manejo: registre SEMPRE a data de postura de cada ovo. No PLUMAR o ciclo reprodutivo é monitorado automaticamente.","#dicasdemanejo #criacaodeaves #cicloreprodutivo #plumar",yes,scheduled
Post12,Instagram,Carousel,2026-05-02 11:00,2026-05-02 14:00,frontend/public/marketing/PLUMAR_Post12_Slide1.png|...|Slide7.png,carousel,"5 motivos para trocar sua planilha pelo PLUMAR. Migre hoje. 30 dias grátis.","#plumar #gestaodecriatório #adeusplanilha",yes,scheduled
Post13,Instagram,Reel,2026-05-04 19:30,2026-05-04 22:30,frontend/public/marketing/PLUMAR_Post13_Depoimento.png,video_pending,"Depoimento beta tester. ATENÇÃO: mídia atual é placeholder — substituir por vídeo real antes de publicar.","#depoimento #plumar #criadores",yes,scheduled_pending_media
Post14,Instagram+Facebook+WhatsApp,Image,2026-05-06 20:00,2026-05-06 23:00,frontend/public/marketing/PLUMAR_Post14_Urgencia.png,image,"⏰ Últimos dias com trial de 30 dias estendido! Quem criar conta essa semana ganha acesso completo. Link na bio.","#plumar #criacaodeaves #oportunidade",yes,scheduled
